,State,Opioid Dispensing Rate per 100,Year,my_state
14,Indiana,105.6,2009,IN
15,Iowa,60.4,2009,IA
16,Kansas,82.8,2009,KS
17,Kentucky,135.2,2009,KY
18,Louisiana,113.0,2009,LA
19,Maine,87.9,2009,ME
20,Maryland,66.9,2009,MD
21,Massachusetts,68.9,2009,MA
22,Michigan,91.6,2009,MI
23,Minnesota,58.6,2009,MN
24,Mississippi,117.3,2009,MS
25,Missouri,88.5,2009,MO
26,Montana,85.8,2009,MT
27,Nebraska,66.4,2009,NE
28,Nevada,94.0,2009,NV
29,New Hampshire,81.5,2009,NH
30,New Jersey,59.9,2009,NJ
31,New Mexico,75.3,2009,NM
32,New York,49.5,2009,NY
33,North Carolina,89.3,2009,NC
34,North Dakota,60.3,2009,ND
35,Ohio,100.4,2009,OH
36,Oklahoma,115.0,2009,OK
37,Oregon,99.3,2009,OR
38,Pennsylvania,78.1,2009,PA
39,Rhode Island,82.5,2009,RI
40,South Carolina,95.8,2009,SC
41,South Dakota,52.3,2009,SD
42,Tennessee,138.4,2009,TN
43,Texas,71.8,2009,TX
44,Utah,86.9,2009,UT
45,Vermont,54.5,2009,VT
46,Virginia,74.1,2009,VA
47,Washington,86.1,2009,WA
48,West Virginia,146.9,2009,WV
49,Wisconsin,71.9,2009,WI
50,Wyoming,81.0,2009,WY
0,Alabama,134.3,2010,AL
1,Alaska,68.4,2010,AK
2,Arizona,88.5,2010,AZ
3,Arkansas,120.8,2010,AR
4,California,55.8,2010,CA
5,Colorado,72.0,2010,CO
6,Connecticut,68.6,2010,CT
7,Delaware,101.1,2010,DE
8,District of Columbia,37.1,2010,DC
9,Florida,87.6,2010,FL
10,Georgia,90.2,2010,GA
11,Hawaii,50.1,2010,HI
12,Idaho,88.6,2010,ID
13,Illinois,63.1,2010,IL
14,Indiana,107.1,2010,IN
15,Iowa,62.3,2010,IA
16,Kansas,86.1,2010,KS
17,Kentucky,136.5,2010,KY
18,Louisiana,112.6,2010,LA
19,Maine,92.8,2010,ME
20,Maryland,71.2,2010,MD
21,Massachusetts,67.9,2010,MA
22,Michigan,96.0,2010,MI
23,Minnesota,59.0,2010,MN
24,Mississippi,118.1,2010,MS
25,Missouri,91.0,2010,MO
26,Montana,87.2,2010,MT
27,Nebraska,69.0,2010,NE
28,Nevada,97.3,2010,NV
29,New Hampshire,81.6,2010,NH
30,New Jersey,61.0,2010,NJ
31,New Mexico,81.9,2010,NM
32,New York,51.0,2010,NY
33,North Carolina,93.1,2010,NC
34,North Dakota,63.0,2010,ND
35,Ohio,102.4,2010,OH
36,Oklahoma,119.6,2010,OK
37,Oregon,101.2,2010,OR
38,Pennsylvania,81.0,2010,PA
39,Rhode Island,82.7,2010,RI
40,South Carolina,98.6,2010,SC
41,South Dakota,54.0,2010,SD
42,Tennessee,140.0,2010,TN
43,Texas,73.0,2010,TX
44,Utah,86.6,2010,UT
45,Vermont,54.1,2010,VT
46,Virginia,75.5,2010,VA
47,Washington,85.0,2010,WA
48,West Virginia,143.1,2010,WV
49,Wisconsin,74.4,2010,WI
50,Wyoming,80.4,2010,WY
0,Alabama,136.6,2011,AL
1,Alaska,68.0,2011,AK
2,Arizona,88.6,2011,AZ
3,Arkansas,115.2,2011,AR
